X,Y,OBJECTID,LRSDate,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,AccumulatedRouteMile,AADT,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,DirectionOfTravel,Location,GlobalID,ReportingYear
-121.953078184,47.5882761120001,1,2021/12/31 08:00:00+00,202,202,,,18.190001,7000,4.79,4.02,0.18000001,Bothways,After Milepost 18.25 A: RIGHT INTERSECTION 292ND AVE SE,{85D956EE-E271-4210-A5B1-538E96834130},2021
-121.122451316,47.718206202,2,2021/12/31 08:00:00+00,002,002,,,60.400002,5500,,,,Bothways,"At Milepost 60.32 A: BEGIN INCREASING BRIDGE TUNNEL CREEK,  BEGIN DECREASING BRIDGE TUNNEL CREEK",{FB414C0E-1E9C-4C3F-B283-41786FA0855E},2021
-123.709445913,46.8823102600001,3,2021/12/31 08:00:00+00,101,101,,,74.089996,4800,,,,Bothways,Before Milepost 74.37 A: RIGHT INTERSECTION NORTH RIVER RD,{AF40FE27-9F43-4801-AA3C-A4464AA87257},2021
-122.19657203,47.4838251080001,4,2021/12/31 08:00:00+00,405,405,,,3.99,123000,,,,Bothways,At Milepost 3.99 A: BEGIN BOTHWAYS BRIDGE SR 169,{E0C5D29C-5E2A-4E98-9D45-1034D1B6CF66},2021
-122.975355291,46.6548771510001,5,2021/12/31 08:00:00+00,005,005,,,77.610001,70000,,,,Bothways,"Before Milepost 77.55 A: LEFT ON RAMP SR 6, END BOTHWAYS BRIDGE CM&E RR",{D345A2C9-02A3-40BE-B19E-3DD921503AF7},2021
-122.315336189,47.684848264,6,2021/12/31 08:00:00+00,522,522,,,0.52999997,32000,,,,Bothways,After Milepost 0.52 A: LEFT INTERSECTION LAKE CITY WAY NE,{AE753610-5235-424C-A2E2-345F40FA0E4A},2021
-122.275275928,46.55904796,7,2021/12/31 08:00:00+00,007,007,,,0.5,3800,,,,Bothways,After Milepost 0.49 A: LEFT INTERSECTION LESTER DR,{C986BAC1-90FF-4FF9-9D02-FFC3AD21A235},2021
-117.597490567,47.8289809010001,8,2021/12/31 08:00:00+00,291,291,,,15.14,4300,3.4100001,0.62,0,Bothways,"After Milepost 15.13 A: RIGHT INTERSECTION PVT RD,  LEFT INTERSECTION MORIAH DR",{3081564E-0493-40F9-A048-7F0607D0CC2B},2021
-117.125263315,47.666675608,9,2021/12/31 08:00:00+00,090,090,,,292.98999,80000,,,,Bothways,After Milepost 295.29 A: LEFT OFF RAMP APPLEWAY AVE,{A482D705-A018-440D-A433-C5C7E8880586},2021
-122.382865475,47.8126422940001,10,2021/12/31 08:00:00+00,104,104,,,24.41,5200,,,,Bothways,At Milepost 24.45 A: END FERRY ZONE,{03BAB807-5CC5-401D-B03A-CA9916085555},2021
-117.607413474,47.472328573,11,2021/12/31 08:00:00+00,904,904,,,9.1099997,3000,,,,Bothways,After Milepost 9.10 A: RIGHT INTERSECTION MULLINIX RD,{6C2C264F-B79E-4B7A-B258-8B13B63D09C7},2021
-119.92020764,47.8732591520001,12,2021/12/31 08:00:00+00,097,097,,,225.25999,4900,5.0500002,7.4000001,4.5900002,Bothways,After Milepost 240.19 A: LEFT WYE CONNECTION SR 97AR (ALTERNATE),{258570C2-5ADF-4513-AB6E-71AF86621EE2},2021
-120.249759122,46.3946071780001,13,2021/12/31 08:00:00+00,082,082,,,53.57,26000,,,,Bothways,Before Milepost 53.61 A: LEFT ON RAMP YAKIMA VALLEY HWY,{D3DA5167-7F9B-4BC6-B2A2-1A17BE312E9A},2021
-122.143215334,47.8048305520001,14,2021/12/31 08:00:00+00,524,524,,,12.97,8200,,,,Bothways,After Milepost 12.84 A: BOTHWAYS INTERSECTION SR 9,{B5757FFB-9D9A-4293-9BBF-8D153E0BBF98},2021
-119.420447947,48.919669055,15,2021/12/31 08:00:00+00,097,097,,,315.42999,3300,4.1500001,5.9099998,0.73000002,Bothways,After Milepost 330.38 A: RIGHT INTERSECTION EAST OROVILLE RD,{11E8E8A3-1954-4DB5-98D8-17323F3F9FBE},2021
-122.212934722,48.6528555240001,16,2021/12/31 08:00:00+00,009,009,,,66.980003,2200,,,,Bothways,After Milepost 67.38 A: RIGHT INTERSECTION WICKERSHAM ST,{09886CB7-92FC-40B0-A6A5-16E4B88B5B4B},2021
